threshold,coverage,review_rate,accepted_precision,failure_capture_rate,accepted_count,reviewed_count
0.5,0.9951014695591323,0.00489853044086774,0.840365682137834,0.021551724137931036,1422,7
0.51,0.9944016794961511,0.005598320503848845,0.8409570724841661,0.02586206896551724,1421,8
0.52,0.9930020993701889,0.006997900629811057,0.8421423537702607,0.034482758620689655,1419,10
0.53,0.9902029391182645,0.00979706088173548,0.8445229681978799,0.05172413793103448,1415,14
0.54,0.986703988803359,0.013296011196641007,0.8460992907801419,0.06465517241379311,1410,19
0.55,0.9846046186144157,0.015395381385584325,0.8471926083866382,0.07327586206896551,1407,22
0.56,0.9825052484254724,0.01749475157452764,0.8490028490028491,0.08620689655172414,1404,25
0.57,0.9790062981105668,0.02099370188943317,0.8513223731236598,0.10344827586206896,1399,30
0.58,0.9734079776067179,0.026592022393282014,0.8533429187634796,0.1206896551724138,1391,38
0.59,0.9650104968509448,0.03498950314905528,0.8578680203045685,0.15517241379310345,1379,50
0.6,0.9559132260321903,0.044086773967809655,0.8609077598828697,0.1810344827586207,1366,63
0.61,0.946815955213436,0.05318404478656403,0.8654841093865484,0.21551724137931033,1353,76
0.62,0.9391182645206438,0.06088173547935619,0.8688524590163934,0.2413793103448276,1342,87
0.63,0.9300209937018894,0.06997900629811056,0.872084273890143,0.2672413793103448,1329,100
0.64,0.9209237228831351,0.07907627711686493,0.8761398176291794,0.2974137931034483,1316,113
0.65,0.907627711686494,0.09237228831350595,0.8835774865073246,0.34913793103448276,1297,132
0.66,0.9020293911826452,0.0979706088173548,0.8859581070597362,0.36637931034482757,1289,140
0.67,0.8922323303009098,0.10776766969909027,0.8909803921568628,0.40086206896551724,1275,154
0.68,0.8719384184744576,0.12806158152554234,0.9004815409309791,0.46551724137931033,1246,183
0.69,0.8551434569629112,0.14485654303708886,0.9108019639934534,0.5301724137931034,1222,207
0.7,0.8432470258922323,0.15675297410776767,0.9178423236514522,0.5732758620689655,1205,224
0.71,0.8292512246326103,0.17074877536738978,0.9240506329113924,0.6120689655172413,1185,244
0.72,0.8110566829951015,0.18894331700489853,0.9327006039689387,0.6637931034482759,1159,270
0.73,0.7914625612316305,0.2085374387683695,0.9416445623342176,0.7155172413793104,1131,298
0.74,0.7704688593421973,0.22953114065780267,0.9482288828337875,0.7543103448275862,1101,328
0.75,0.7508747375787264,0.2491252624212736,0.9515377446411929,0.7758620689655172,1073,356
0.76,0.7375787263820853,0.2624212736179146,0.9582542694497154,0.8103448275862069,1054,375
0.77,0.7158852344296711,0.2841147655703289,0.9667644183773216,0.853448275862069,1023,406
0.78,0.6997900629811057,0.3002099370188943,0.974,0.8879310344827587,1000,429
0.79,0.6836948915325403,0.31630510846745974,0.9744114636642784,0.8922413793103449,977,452
0.8,0.6592022393282015,0.34079776067179846,0.9798301486199575,0.9181034482758621,942,487
0.81,0.6417074877536739,0.3582925122463261,0.9836423118865867,0.9353448275862069,917,512
0.82,0.6207137858642408,0.37928621413575925,0.9864712514092446,0.9482758620689655,887,542
0.83,0.6004198740377886,0.3995801259622113,0.9918414918414918,0.9698275862068966,858,571
0.84,0.5794261721483555,0.4205738278516445,0.9951690821256038,0.9827586206896551,828,601
0.85,0.5479356193142058,0.45206438068579424,0.9948914431673053,0.9827586206896551,783,646
0.86,0.5178446466060181,0.4821553533939818,0.9972972972972973,0.9913793103448276,740,689
0.87,0.4912526242127362,0.5087473757872638,0.9985754985754985,0.9956896551724138,702,727
0.88,0.45276417074877534,0.5472358292512246,1.0,1.0,647,782
0.89,0.4289713086074178,0.5710286913925823,1.0,1.0,613,816
0.9,0.3981805458362491,0.6018194541637508,1.0,1.0,569,860
0.91,0.3547935619314206,0.6452064380685795,1.0,1.0,507,922
0.92,0.3184044786564031,0.6815955213435969,1.0,1.0,455,974
0.93,0.2708187543736879,0.7291812456263121,1.0,1.0,387,1042
0.94,0.23093072078376486,0.7690692792162351,1.0,1.0,330,1099
0.95,0.18124562631210636,0.8187543736878936,1.0,1.0,259,1170
